cnpj,abreviado,nome,classificacao
28763118001758,NOSSA DROG F,A NOSSA DROGARIA DE CAXIAS LTDA,CIF
79430682003067,NISSEI,FARMACIA E DROGARIA NISSEI LTDA,CIF
04899316000118,IMIFARMA,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,CIF
01342499000188,BRASVENDING,BRASVENDING COMERCIAL S.A,NAO_CONSIDERAR
04429478000192,SB,SB COMERCIO LTDA,CIF
07486620000121,DEC AMAPA,ATTACK DISTRIBUIDORA LTDA,CIF
61585865051309,RAIA DROGASI,RAIA DROGASIL S.A.,CIF
04949349000125,ANDROMACO,LABORATORIO ANDROMACO LTDA,CIF
83754234000151,BIG BENN,DISTRIBUIDORA BIG BENN S.A,CIF
13179415000116,GUARARAPES,GUARARAPES BRASIL ATACADO S/A,CIF
00000000000000,GENOMMA ARG,GENOMMA LABORATORIES ARGENTINA S.A,NAO_CONSIDERAR
14015102000195,DALL,DALL SOLUCOES ANALITICAS E EMPRESARIAIS LTDA EPP,NAO_CONSIDERAR
82873068000140,DISTRIB GAM,GENESIO A MENDES & CIA LTDA,CIF
03785066000122,REAL DEC,REAL DISTRIBUIDORA E LOGISTICA LTDA,CIF
01520248000146,DISMELO,MARQUES & MELO LTDA,CIF
06893666000100,ACCO,ACCO SCIENCE FARMACEUTICA,NAO_CONSIDERAR
01233103000326,ARCADE,MAPPEL INDUSTRIA DE EMBALAGENS S.A.,NAO_CONSIDERAR
16010431000179,SM DISTRIB,SANTA MARTA DISTRIBUIDORA DE DROGAS LTDA,CIF
09156879000130,CENTRO OESTE,CENTRO OESTE FARMA DISTR DE MEDIC LTDA,CIF
09274480000153,ROGE GO,ROGE GÓIAS DISTRIBUIDORA LTDA,FOB
07641734000107,DISTR TOT,DIST TOTAL PLUS COM E REPRES LTDA,CIF
15103047000158,DROG SANTANA,SANTANA SA DROGARIA FARMACIAS,CIF
04429478000273,SB FILIAL,SB COMERCIO LTDA,CIF
05556788000130,FORTMED,FORTMED COM DE MEDICAMENTOS LTDA,CIF
04240370000157,NOVA ERA,MERCANTIL NOVA ERA LTDA,CIF
04240370000319,MERC NOVA ER,MERCANTIL NOVA ERA LTDA,CIF
15148319000136,NET FARMA,VIRTUAFARMA COM ON LINE S/A,CIF
15148319000217,VIRTUA FIL,NETFARMA COMERCIO ON LINE S.A.,CIF
84521053000814,TAPAJOS FL,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,CIF
11976937000113,MS VINHEDO,MS VINHEDO DISTR DE MED LTDA,CIF
07516150000100,E.L.C.,E.L.C. COM DE MED FIT E HOM LTDA -EPP,CIF
02307303000268,CONAR,DEC CONAR DISTRIBUIDORA LTDA,CIF
95410163000744,PENNACCHI,PENNACHI &CIA LTDA,CIF
61585865073701,RAIA,RAIA DROGASIL S/A,CIF
61585865065954,RAIA R.J.,RAIA DROGASIL S/A,CIF
61585865065440,RAIA P.R.,RAIA DROGASIL S/A,CIF
06205895000187,ZONIS,AFFITTO TECNOLOGIA LTDA,NAO_CONSIDERAR
02033695000133,VEDAPACK EMB,VEDAPACK EMBALAGENS INDUSTRIAIS LTDA,NAO_CONSIDERAR
06144877000132,ALTO,ALTO MIUDESAS COMERCIAL LTDA,CIF
08074024000105,RD SOARES,RD SOARES & CIA LTDA,CIF
39307517000163,PRORIBEIRO,PRORIBEIRO ADM E ORGANIZ DE COMERCIO LTDA,CIF
07222185000209,GRUPO JORGE,JORGE BATISTA E CIA LTDA,CIF
07224991001026,NAZARIA,NAZARIA DISTR DE PRODS FARMACEUTICOS LTDA,CIF
07224991000992,NAZARIA PB,NAZARIA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,CIF
07224991000135,NAZARIA CE,NAZARIA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,CIF
07224991000640,NAZARIA MA,NAZARIA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,CIF
07224991000720,NAZARIA PI,NAZARIA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,CIF
07224991000801,NAZARIA RN,NAZARIA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,CIF
07224991001298,NAZARIA PE,NAZARIA DISTR DE PRODS FARMACEUTICOS LTDA,CIF
03291717000128,UNIFARMA,UNIFARMA REDE UNIFICADA DE FARM. LTDA,CIF
84521053000300,TAPAJOS RO,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,CIF
10194833000275,GIGA,GIGA BR DISTRIBUIDOR E ATACADISTA S/A,CIF
01559455000295,UNIMED,UNIMED NORDESTE PAULISTA FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MEDICAS,NAO_CONSIDERAR
04240370000661,MERCANTIL,MERCANTIL NOVA ERA LTDA,CIF
03753945000172,ANDRADE,ANDRADE DISTRIBUIDOR LTDA,CIF
33014556018133,LOJAS AMERIC,LOJAS AMERICANAS S/A,CIF
33014556019962,LOJAS AME SP,LOJAS AMERICANAS S/A,CIF
33014556017919,LOJAS AME PE,LOJAS AMERICANAS S/A,CIF
33014556000196,LOJAS AMER,LOJAS AMERICANAS S.A,NAO_CONSIDERAR
60879848000164,ADV-Tayuyna,LABORATORIO TAYUYNA LTDA,NAO_CONSIDERAR
06098636000366,PEDRO,PEDRO DE OLIVEIRA,CIF
06098636000102,JR ATAC MA,JR COMERCIO ATACADISTA DE PRODUTOS DE HIGIENE LTDA,CIF
94296175000131,MAIS ECON,DROGARIA MAIS ECONOMICA S.A,CIF
84521053000490,TAPAJOS PA,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,CIF
84521053001381,TAPAJOS AP,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,CIF
09002381000112,M DESIGNER,INTERCONNECTED GRAFICA E EDITORA LTDA -ME,NAO_CONSIDERAR
11322774000155,NORTE SUL,NORTE SUL REAL DISTRIB E LOGIST LTDA,CIF
04257104000137,VIRTUAL PROD,VIRTUAL PRODUTOS PESSOAIS LTDA,CIF
05103939000286,ZAMBONI,ZAMBONI COMERCIAL LTDA,CIF
03688545000120,DIGITAL WOR,DIGITAL WORK COMPUTER SERVICE COMERCIAL LTDA,NAO_CONSIDERAR
19570720000706,HIPOLABOR,HIPOLABOR FARMACEUTICA LTDA,NAO_CONSIDERAR
51602654000126,ANAD,ASSOCIACAO NACIONAL DE ATENCAO AO DIABETES,NAO_CONSIDERAR
83754234013806,BIG BENN PE,DISTRIBUIDORA BIG BENN S.A,CIF
39022041000114,CHEP,CHEP DO BRASIL LTDA,NAO_CONSIDERAR
06626253063315,PAGUE M. PE,EMPREENDIMENTOS PAGUE MENOS S/A,CIF
02837536000191,CLS TECNOLOG,CLS TECNOLOGIA ANALITICA E SISTEMAS DE GESTAO LTDA,NAO_CONSIDERAR
75217794000300,JR,JR TRANSPORTES LTDA,NAO_CONSIDERAR
84487131000135,MAPEMI,MAPEMI BRASIL MATERIAIS MEDICOS E ODONTOLOGICOS LTDA,CIF
55643555000143,Rio Química,RIOQUIMICA S.A.,NAO_CONSIDERAR
04196584000173,MASTER PUMPS,MASTER PUMPS EMBALAGENS COMERCIO IMPORTACAO E EXPORTACAO LTDA,NAO_CONSIDERAR
92665611032290,DIMED ELD,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,CIF
92665611030750,DIMED PR,DIMED S/A - DISTR DE MEDICAMENTOS,CIF
60409075011863,NESTLE,NESTLE BRASIL LTDA,NAO_CONSIDERAR
06855263000169,TRANS. ROTAS,TRANSPORTADORA ROTAS PAULISTAS EXPRESS LTDA.ME,NAO_CONSIDERAR
02344518000178,REDE MULHER,REDE MULHER DE TELEVISAO LTDA,NAO_CONSIDERAR
33438250044539,PACHECO,DROGARIAS PACHECO S/A,CIF
11074573000186,GAMA,GAMA PACK COMERCIO E INJECAO DE PLASTICOS LTDA,NAO_CONSIDERAR
06626253057935,PAGUE M. GO,EMPREENDIMENTOS PAGUE MENOS S/A,CIF
01964690000161,TRANSPOTECH,TRANSPOTECH PECAS E SERVICOS LTDA,NAO_CONSIDERAR
00285753003459,VENANCIO P.,VENANCIO PRODUTOS FARMACEUTICOS LTDA,CIF
01858973000129,AIRELA,AIRELA IND FARMACEUTICA LTDA,NAO_CONSIDERAR
45237724000434,J MOREIRA,J MOREIRA COMERCIAL DE ALIMENTOS LTDA,CIF
05424008000107,UNILIDER,UNILIDER DISTRIBUIDORA S/A,NAO_CONSIDERAR
10583555000167,TECNOFES,TECNOFES COMERCIO E SERVICOS LTDA ME,NAO_CONSIDERAR
17352172000127,PLK,PLK LOG COMERCIAL E IMPORTADORA - EIRELI,CIF
11032063000146,AEROCOSMETIC,AERO COSMETIC IND E COM DE AEROSSOIS E COSMETICOS LTDA ME,NAO_CONSIDERAR
60979457001606,AACD,ASSOCIACAO DE ASSISTENCIA A CRIANCA DEFICIENTE,NAO_CONSIDERAR
00482914000136,NORTESUL,NORTE SUL MEDICAMENTOS LTDA,CIF
08473312000124,CONEXAO,CONEXAO MARITIMA SERVIÇOS LOGISTICOS S/A,NAO_CONSIDERAR
00080249000154,RESCAROLI,RESCAROLI COM DE GAS E AGUA LTDA,NAO_CONSIDERAR
05285777000163,AUTO,AUTO MOEMA IMPORTS COMERCIO DE VEICULOS LTDA,NAO_CONSIDERAR
05637940000100,DALLA,DALLA COMERCIO E AUTOMAÇÃO LTDA EPP,NAO_CONSIDERAR
